DBO.P	SSV.E	DQO.E	SS.E	SSV.P	SS.P	COND.E	SSV.D	SED.D	SED.P	PH.D	SED.E	SS.D	DQO.D	PH.P	PH.E	DBO.E	COND.P	ZN.E	DBO.D	rfextract
140	71.7	485	198	61.5	156	1535	76.7	0.1	4	7.7	3.5	78	283	7.7	7.8	151	1528	6.6	102	class1
154	81.5	351	108	64.8	182	1135	75.8	0.9	3	7.5	3	124	351	7.5	7.5	134	1115	2.92	123	class1
225	55.7	461	298	63.2	212	1340	76.2	0.2	5.5	7.5	5	84	307	7.6	7.6	179	1395	19.1	111	class1
159	68.8	396	154	67.4	184	1440	83	0.2	3.1	7.8	3	82	295	7.8	7.7	159	1520	3.7	105	class1
158	57.4	375	244	55.7	280	1413	81.3	0.7	6.5	7.7	4	96	282	7.8	7.7	146	1486	6.3	116	class1
229	58.3	604	288	60.4	222	1235	73.1	0.9	4.5	7.7	4.7	104	391	7.8	7.8	198	1330	2.6	144	class1
166	69.4	388	170	66.7	198	1147	82.4	0.2	3	7.6	4	68	208	7.7	7.6	177	1126	0.8	89	class1
182	59.8	545	254	61	248	1202	77	0.6	4	7.7	6	124	325	7.7	7.7	197	1218	5.7	120	class1
221	61.2	359	242	62.9	280	1315	62.3	0.7	7	7.7	4	138	294	7.7	7.6	149	1240	0.7	121	class1
192	65.3	472	242	58.5	236	1183	65.5	1.4	4.5	7.3	5	116	357	7.3	6.9	233	1165	1.6	124	class2
238	62	395	216	59.5	232	1367	58.8	0.3	3	7.5	3	102	263	7.4	7.3	185	1383	0.9	93	class1
124	67.1	318	140	69.1	136	1319	85.7	0.1	2	7.6	3	70	277	8	8.1	129	1320	1.5	101	class1
192	69	336	168	67	200	1531	80	0.1	3	7.6	2.6	80	265	7.5	7.5	170	1485	1.6	101	class1
137	62.9	295	178	53.4	236	1459	67.3	0.3	4	7.7	3	104	231	7.7	7.7	118	1442	1.75	103	class1
197	62	462	216	54.2	354	1315	64.4	0.3	8	7.8	5.5	118	307	7.8	7.8	181	1377	1	124	class1
218	61.2	467	242	55.3	318	1171	67.2	0.2	6	7.7	4.5	116	300	7.8	7.7	214	1205	0.58	132	class1
243	64	358	228	49.6	456	1224	66.7	0.3	9.5	7.9	4.3	112	272	7.9	7.8	181	1263	1.14	107	class1
257	62.4	416	218	50	416	1335	59.7	0.5	8	7.7	5.4	134	311	7.7	7.7	227	1350	2.22	156	class1
173	64.3	313	168	58.5	246	1019	64.5	0.2	5.9	7.7	4.3	124	183	7.7	7.7	146	1020	0.92	116	class1
227	66.7	591	264	52.8	500	1234	66.7	0.3	8.5	7.8	7.5	132	338	7.7	7.8	217	1219	2.5	135	class1
243	58	511	286	56.5	382	1326	71.7	0.2	7	7.8	6.5	106	323	7.8	7.6	219	1420	1	142	class1
185	61.5	353	218	58.2	244	1535	75	0.2	5	7.7	4.5	80	229	7.6	7.5	164	1489	1.25	107	class1
279	62.2	473	222	57.5	268	1309	78	0.2	6	7.9	4.5	82	299	7.8	7.8	231	1368	0.73	118	class1
163	53.4	392	232	54	274	1565	81.6	0.2	6	7.8	5	76	250	7.7	7.6	157	1517	0.36	103	class1
301	66	403	200	69.5	236	1592	83.8	0.2	4.5	7.7	5	74	288	7.8	7.8	196	1478	3.9	130	class1
217	62	438	200	62.6	214	1396	75.7	0.2	4.5	7.9	4.5	74	269	7.9	7.7	266	1423	1.2	137	class1
137	56.7	310	208	64.3	168	1134	81.3	0.2	2.5	7.6	3.5	64	212	7.5	7.3	133	1133	3.3	104	class1
207	57.9	404	190	59.4	212	1305	81.3	0.2	5.5	7.8	5.5	64	325	7.7	7.6	134	1341	3.2	109	class1
156	66.7	310	198	66.3	178	1560	89.2	0.1	3	7.7	5.5	74	248	7.7	7.6	178	1549	0.85	100	class1
216	82.9	380	164	80	190	1565	100	0.1	4.5	7.8	4.5	52	279	7.8	7.8	171	1589	0.45	119	class1
161	58.8	258	194	55.9	204	985	70.7	0.2	2.8	7.7	2.5	82	196	7.6	7.6	145	991	0.54	94	class1
219	61.7	316	188	59.6	218	1273	71.7	0.2	3.5	7.6	2.5	92	264	7.5	7.6	133	1322	0.47	69	class1
135	55.9	318	204	56.8	236	1615	75.7	0.3	4.5	7.9	3.5	74	198	7.9	7.8	152	1595	4.5	103	class1
117	38.4	272	266	40	290	1418	69.1	0.2	3.5	7.7	2.5	84	248	7.7	7.6	115	1385	3	75	class1
149	49.2	366	240	45.8	354	1344	60	0.2	7	7.7	4.5	110	220	7.7	7.8	135	1274	0.5	112	class1
167	51.9	424	366	50.7	304	1365	72.7	0.2	6	7.8	6.5	88	212	7.7	7.8	184	1384	0.4	75	class1
163	64.6	332	226	58.8	272	1219	76.9	0.2	5.5	7.9	5.4	78	192	7.9	7.9	170	1223	0.27	94	class1
142	55.5	464	274	53.5	284	1149	75.7	0.2	6	7.7	5.5	74	228	7.7	7.6	153	1165	0.88	82	class1
128	47.7	349	310	41	356	875	78.1	0.2	6	7.8	6.5	64	172	7.8	7.8	133	870	0.17	67	class1
180	57.5	442	268	64.2	302	1306	70.8	0.4	7.2	7.9	5.7	96	275	7.9	8	174	1316	0.25	121	class1
108	71.8	296	142	67.1	158	1494	91.2	0.2	3	7.8	3	68	250	7.8	7.8	117	1516	0.4	96	class1
182	70.1	400	136	65.2	178	1402	69.8	0.3	2.5	7.8	1.5	106	263	7.7	7.7	172	1417	1.6	123	class1
117	66.3	281	172	65.1	172	1520	68.9	0	2	7.6	3	90	221	7.5	7.5	124	1479	2.6	77	class1
113	37.2	171	172	38.2	220	732	67.4	0.1	1	7.5	1.4	49	113	7.5	7.5	150	731	0.55	42	class1
103	37.6	233	234	57	172	829	58.8	0.2	1.5	7.6	1.4	97	167	7.6	7.6	92	852	0.23	65	class1
105	66.2	268	154	64	166	890	64.9	0.2	1.5	7.7	1.7	97	157	7.5	7.5	138	880	0.62	65	class1
110	71.4	251	98	67.3	104	866	69.7	0.3	1.5	7.6	2	66	161	7.6	7.6	84	877	0.23	54	class1
153	60.7	375	178	59.5	168	1049	71.4	0.1	3	7.7	3.5	56	177	7.7	7.6	158	992	0.2	49	class1
131	68.5	310	146	71.1	166	1096	84.4	0.2	1.7	7.7	1.6	64	169	7.6	7.6	159	1083	0.1	98	class1
147	64.9	304	148	61.5	156	939	77.4	0.1	1.8	7.8	2	62	155	7.7	7.6	132	974	0.47	80	class1
163	82.3	307	124	70.6	136	1044	91.9	0.2	2.5	7.7	2.5	62	188	7.6	7.5	153	1039	0.2	97	class1
102	71.9	265	128	85	120	992	84.9	0.1	2	7.7	1.8	66	188	7.6	7.6	179	1012	0.13	88	class1
191	65.1	545	258	67.3	226	1260	76.6	0.1	3.5	7.5	4	77	244	7.4	7.3	200	1198	0.3	115	class1
236	65.6	588	192	73.1	268	2430	77.1	0.4	8.5	7.8	4.5	96	376	7.8	7.9	205	2280	3.5	158	class1
208	69	506	200	66.1	248	1865	78	0.6	6.5	7.8	5	100	463	7.8	7.8	172	1929	2	164	class1
266	61.3	446	222	70	240	1600	84.3	0.4	5	7.6	5.5	102	345	7.7	7.6	219	1645	1.2	172	class1
178	74	405	200	71.7	184	1856	78.3	0.3	3.5	7.5	4	92	302	7.6	7.7	156	1976	1.2	128	class1
252	49.4	389	308	49.4	308	1927	72.2	0.6	6.5	7.7	6	108	302	7.7	7.8	155	2150	3	121	class1
213	66.7	398	192	61.7	240	2240	78.6	0.4	6	8	4.5	84	287	8	8	145	2010	3	140	class1
219	67.8	460	180	66.1	236	1832	80	0.3	5.5	7.8	5.2	100	355	7.9	7.8	187	1920	3	190	class1
204	62.4	361	186	66.7	204	1651	69.8	0.5	5	7.9	3.2	106	345	7.8	7.8	149	1751	3.5	155	class1
200	72	433	186	75.9	174	1729	79.1	0.4	3.7	7.8	4	86	354	7.9	7.9	180	1820	1.8	127	class1
207	73.7	417	152	67.1	164	1608	76.3	0.4	4.5	7.8	4.5	76	321	7.9	7.9	156	1798	2	147	class1
242	27.4	330	562	30	680	1866	48.3	0.6	12.5	7.9	7.5	120	206	7.9	7.9	265	1858	1.4	133	class1
326	80.6	426	248	56.4	404	2310	65.8	0.6	7	7.7	5.5	146	280	7.7	7.6	202	2180	1	142	class1
386	65.4	471	208	64.8	216	2150	74.6	0.5	5.5	7.6	5.5	118	348	7.9	8	352	2320	1	198	class1
191	55.6	488	216	49.2	252	2440	72.7	0.2	5	7.9	6.5	66	304	8	8.1	187	2340	0.75	130	class1
180	54.8	382	168	56.5	184	1814	65.7	0.2	3	8.1	3.5	70	271	7.9	7.7	145	1820	1.25	113	class1
176	61.4	422	176	59.2	196	2200	63.9	0.3	3.5	7.7	4	72	274	7.7	7.7	176	2180	0.8	120	class1
101	46.9	341	256	47.9	238	2070	75.6	0.2	3	7.5	4.2	82	251	7.4	7.5	112	2430	4.5	95	class1
112	53.6	361	220	54.2	236	1790	64.1	0.2	3.3	7.8	4.5	78	239	7.8	7.8	144	1760	5	53	class1
152	44.8	326	268	54.8	208	1570	64.9	0.2	5	7.9	4.5	74	173	7.9	7.8	161	1640	12.5	76	class1
190	55.3	424	264	54.7	318	2270	66.7	0.4	5.5	8	4	90	250	7.8	7.9	189	2310	1	119	class1
166	43.4	388	272	48.1	262	1704	51.2	0.2	4	7.9	3.5	82	274	7.9	7.9	182	1731	2.5	110	class1
314	52.8	566	352	54.2	358	2540	89.7	0.2	8	7.7	8	78	304	7.7	7.7	290	2730	1	122	class1
265	56.4	641	376	58.2	378	1683	63.5	1.7	8	7.9	6	170	338	7.8	7.8	246	1724	1.2	132	class1
242	53.7	607	380	54.1	436	2160	45.9	1.8	8	7.9	6	164	353	7.8	7.7	244	2220	2	139	class1
259	64.7	400	232	60.6	284	1858	72.1	0.2	6	7.6	4.5	86	278	7.6	7.4	342	1907	1.5	133	class1
172	35.6	488	506	41.4	580	2590	71.4	0.2	7.8	7.6	6.3	84	267	7.4	7.5	191	2530	1.5	102	class1
173	46.2	391	260	52.5	244	2140	78.4	0.2	4.5	7.5	4.3	74	261	7.5	7.5	221	2090	0.4	112	class1
201	53.1	380	256	47.6	340	2040	73.1	0.2	8.5	7.9	5.5	104	278	7.8	7.8	139	2000	5	131	class1
135	27.2	366	500	32.3	620	3230	49.1	0.2	7	7.7	4.2	106	181	7.8	7.8	117	3170	3.3	81	class2
218	47.4	256	194	46.7	240	1831	59.2	0.3	4	7.8	3	98	198	7.8	7.8	158	1860	2.71	94	class1
225	59	315	400	64.9	376	2080	77.6	0.1	4	7.4	3.5	67	215	7.5	7.6	217	2090	0.4	131	class1
244	52.4	556	210	66.2	148	2340	75.3	0.1	2.5	7.4	4	73	205	7.5	7.6	208	2080	0.4	95	class1
220	45.6	459	364	41	346	2220	74.6	0.1	4.5	7.9	5.5	63	199	8	7.8	223	2300	1.2	85	class1
121	67	397	188	63.2	190	1950	72.1	0.2	3.5	7.6	5	68	190	7.5	7.5	126	1760	1	75	class1
205	64.8	276	142	56.1	278	1939	65.9	1	7.5	7.6	1.5	123	269	7.6	7.6	158	1878	0.4	102	class1
334	72.5	713	356	83.6	584	2170	84.5	1.3	8.5	7.9	10	116	372	8	8.2	339	2110	0.83	223	class2
227	69.2	550	214	67.5	246	1919	78	0.2	8	8.1	5.5	100	372	8.2	8.1	255	1917	2	161	class2
250	79.3	473	212	74.8	246	1990	82.1	0.2	6	8.1	7	112	384	8.1	8.1	253	1950	1	202	class2
337	74.5	539	188	75.2	218	1803	84.3	0.5	5.2	8.1	4.7	102	365	8.1	8.1	256	1732	1.7	186	class2
372	79.3	511	184	74.5	212	2110	78.1	1	5	8.1	4	128	396	8	8	330	2100	5.45	204	class2
282	77.6	539	196	72.6	190	2090	85.5	1	4.5	8.1	4.5	110	396	8.2	8.2	324	2180	5.9	203	class2
188	65.3	334	196	66	188	2230	78.4	0.2	4.5	8.2	7	74	210	8.1	8.1	168	2110	18.2	133	class1
392	76.6	484	308	75.3	308	1653	83.1	0.3	5.5	8.1	5.8	118	332	8.1	8.1	287	1640	1.5	155	class2
300	73	434	118	72.9	214	1727	66.7	0.9	4.5	8.1	5	114	317	8.1	8	201	1700	0.3	131	class1
156	68.8	364	154	49.1	224	1672	65.1	0.2	3.5	8	3	86	261	8.1	8	182	1750	2.5	136	class1
194	69.5	428	210	56.8	250	1835	67.3	0.2	3.5	8.2	6.5	104	289	8.2	7.9	195	1873	1.9	121	class1
161	69.6	457	184	61.4	228	1944	75.5	0.4	5.5	8.1	4	98	325	8.3	8.3	185	2050	1.7	109	class1
159	61.1	263	144	50.9	204	1665	82.5	0.2	2.5	8	1.5	80	208	8.3	8.2	139	1717	4.5	85	class1
198	55.9	318	118	62.7	134	1820	70	0.2	2	8.1	2.5	60	213	8	8.1	166	1779	2.3	95	class1
144	66.2	304	136	60.7	168	2050	88.2	0.2	3	8.2	2.5	68	243	8.1	8	138	2000	0.43	107	class1
312	65.8	447	152	62.7	204	1770	72.2	0.9	3.8	8.2	3.3	108	439	8.4	8.5	251	2880	0.48	192	class2
118	65.8	224	146	66.7	138	1758	70.3	0.2	1.4	8	4	74	106	8.2	8.2	147	1740	0.8	85	class1
261	63.9	324	166	68.5	146	1782	71.4	0.2	3	8	3.5	84	220	8	8.2	206	1830	0.14	105	class1
268	67.3	456	214	69.7	238	1586	81.1	0.2	4.5	8	6	74	260	8.1	8.1	233	1672	7.9	114	class1
197	70.8	419	178	70.6	218	2210	80	0.4	4	8.2	4.5	100	318	8.3	8.2	226	2150	3.45	141	class2
218	70.2	392	188	66.7	210	2790	78	0.3	4	8	4	82	267	8.2	8.4	195	2680	2.24	130	class2
221	71.2	427	208	70.6	204	1979	82.9	0.2	5	8.3	5.5	82	291	8.4	8.3	173	1955	2.7	113	class2
194	73.2	321	142	66.9	242	1681	75	0.8	7	8	3	104	274	8.1	8.1	148	1704	2.21	130	class1
289	78	572	200	74.2	240	2280	81.6	0.2	6.5	8	4.5	98	372	8.2	8.1	243	2340	0.6	166	class2
363	72.1	743	280	70.8	260	2390	76.8	0.3	7	8.1	6.5	112	408	7.8	8.2	316	2460	1.23	169	class2
357	75.4	702	244	71.1	304	2480	82.5	0.2	11.5	8	8.5	114	412	8	8.1	302	2250	2.1	194	class2
330	69.4	412	196	52.1	476	2190	61.3	0.3	7.5	7.8	4.5	124	274	7.8	7.8	177	2330	6	151	class1
172	68.3	327	126	77.8	180	1940	79.5	0.2	2.5	7.8	2.5	78	272	8.1	8	169	1950	1.25	106	class1
157	55.8	294	172	61.3	150	1983	61.5	0.4	2	8.1	3.5	104	207	8.3	8.3	192	1934	2.5	107	class1
217	60.3	334	156	64.2	162	1987	64.9	0.5	4	8.2	4	114	299	8.3	8.2	185	2100	6	121	class1
186	33.5	357	334	37.9	464	1760	54.5	0.5	6	8	3.5	110	230	8	7.9	115	1858	3.3	92	class1
137	55.7	318	194	55.3	188	1970	63.5	0.4	1.8	8	2.7	104	239	8.1	8.1	380	2080	1.41	99	class1
135	66.3	547	166	67.8	174	1667	74	1	4	7.9	6	100	333	7.9	7.7	156	1730	1.5	118	class1
277	68.4	416	196	69.6	250	1711	78.2	0.6	7	7.9	5	110	348	7.9	7.9	209	1774	4.85	138	class1
236	79.5	380	146	76.3	160	1949	90.2	0.6	4.5	7.9	4.5	82	328	7.9	7.9	170	1957	2.2	161	class1
130	73.6	289	182	68.7	134	1698	73.5	0.5	2	8	2.5	68	202	8	7.7	150	1718	3.3	76	class1
253	57	396	242	63.8	210	1879	66.7	0.7	6.3	7.9	6.8	108	341	8.1	8	173	1916	1.6	85	class1
214	69.6	443	184	71	186	1553	83.7	0.1	3.5	7.9	4	86	345	7.9	7.8	223	1670	2.5	181	class1
156	69.9	574	166	68.1	188	1563	78.9	0.5	4	8	4.9	76	337	8	8	195	1580	3.2	131	class1
312	72.8	546	184	74.7	182	2240	74.5	0.5	4.3	8	4.5	94	329	8	8	212	2160	2.57	169	class2
259	71.8	629	312	72	264	1823	78.8	0.6	6.3	8.2	7.5	104	374	8.2	8.2	257	1767	5.3	199	class2
259	68.3	486	240	68.2	352	1605	75.9	0.4	13.2	8.1	9	116	394	8.1	8.1	199	1684	8.2	168	class2
250	68.3	662	252	7.1	310	1734	78.8	0.6	7.3	8.2	6.5	104	346	8.2	8.1	222	1733	6.2	175	class2
305	70.6	490	170	67.2	244	1652	70.6	1	5.5	8.2	5	102	371	8.2	8.1	238	1643	2.6	135	class2
379	71.2	422	222	65	400	1733	82	0.9	10	8	5	122	346	7.9	7.8	230	1790	5.7	194	class2
449	71.9	459	228	71.1	298	1684	91.1	0.6	9	8	7.5	112	352	8	8	290	1746	2.5	187	class2
273	76.5	368	162	74.7	158	1854	86.8	0.4	4.5	8.1	4	76	308	8.1	8.1	231	1846	3.5	158	class1
159	66.7	434	126	67.9	156	2450	71.1	1	3	8.2	2.5	90	422	8.1	7.9	188	2680	0.65	139	class1
214	79.7	307	118	80	130	1697	77.1	1.2	3.5	8.2	4	96	295	8.2	8.2	166	1661	0.5	148	class1
211	75.3	493	162	72.8	162	1620	83.7	0.6	4	8.2	5.3	86	330	8.3	8.2	222	1746	0.7	140	class1
293	73.4	665	188	74	192	2200	87.5	0.6	5	8	6	96	304	8.1	8	272	2200	1.2	164	class2
244	71.3	592	216	72.7	256	1663	77.6	3.5	8	8.2	7.5	170	400	8.4	8.3	261	1685	2.5	163	class2
345	66.3	518	202	67.6	210	2350	83.7	0.5	3.5	7.7	3	98	355	7.8	7.7	185	2120	0.82	156	class1
209	69.6	486	184	69.2	214	1912	78	0.5	4	8	4.5	100	297	8	7.9	228	1867	3.1	145	class1
210	60.8	327	194	54.7	252	1725	68.3	0.3	6.3	7.8	5.9	82	233	7.8	7.7	238	1724	0.9	101	class1
126	61.1	323	190	54.4	206	2070	61	0.3	3	7.9	4.5	118	229	7.8	7.8	134	2050	2.1	85	class1
174	22.8	432	1228	21.3	1692	1889	66.7	0.5	46	7.7	36	90	227	7.6	7.6	179	1906	0.75	99	class2
239	62.3	546	308	53.3	420	1869	84.2	0.4	19	7.9	13	76	222	7.8	7.7	198	1893	1.5	81	class1
254	66.9	448	218	62	200	1842	75.5	0.3	5	7.9	5.5	90	312	8	7.8	290	1829	0.82	137	class1
194	62	412	216	61.5	234	1800	66	0.5	5	8	5	106	276	8.1	8.1	184	1770	6.36	116	class1
211	66.1	333	242	67.3	202	1960	87.5	0.1	4.5	7.7	4.5	80	274	7.6	7.4	167	2090	1.73	106	class1
127	57.7	412	208	60.8	194	1593	65.6	0.7	4	7.7	4.3	128	298	7.7	7.6	149	1710	1.1	96	class1
155	75	605	208	61.7	230	1672	75.6	0.1	5	7.5	5	82	308	7.5	7.5	182	1734	4	129	class1
195	64.3	432	224	67.3	208	2150	73.9	0.2	3.5	7.6	4	92	290	7.7	7.6	198	2100	1.8	106	class1
139	51	408	290	67.7	198	2150	75.5	0.1	2.5	7.6	4	98	290	7.7	7.7	115	2050	5.7	96	class1
129	49	253	200	50	256	2110	83	0.1	2.5	7.6	2.8	94	245	7.6	7.6	132	2060	2.4	106	class1
148	67.5	263	148	77.6	134	1645	89.3	0.1	1.7	7.6	2	56	198	7.5	7.5	188	1668	1.4	98	class1
128	73.9	273	138	75.6	172	1870	82.4	0.2	3.5	7.8	3.8	68	192	7.8	7.8	114	1929	0.2	80	class1
315	67.9	523	324	56.3	348	1817	66.7	0.2	9	7.8	7	84	297	7.6	7.5	277	1816	1.5	154	class1
206	57.9	330	190	55.1	218	1775	73.2	0.2	5.5	7.8	5.5	82	275	7.8	7.8	192	1782	0.72	117	class1
147	65.2	380	178	68.1	182	1668	84.8	0.2	3.5	7.8	4.5	66	272	7.7	7.7	140	1789	1.94	110	class1
180	56.3	439	256	53.2	316	2210	72.6	0.3	7	7.9	7.5	102	247	7.9	8.1	185	2070	0.25	121	class1
244	65.1	489	252	64.2	268	2110	68.2	0.2	5	7.9	4.5	88	303	7.8	7.8	235	2100	1.59	135	class1
148	61.9	348	194	65.1	172	1720	82.5	0.2	2.5	7.6	3	80	265	7.5	7.4	160	1729	3	105	class1
